name;seq;start;end;diff
TIGR00730;2;1479502611899;1479502611996;97;
TIGR00732;2;1479502612000;1479502612153;153;
TIGR00734;2;1479502612157;1479502612266;109;
TIGR00735;3;1479502612270;1479502620026;7756;<
TIGR00737;3;1479502620030;1479502632775;12745;<
TIGR00738;3;1479502632779;1479502644699;11920;<
TIGR00739;2;1479502644702;1479502644778;76;
TIGR00740;3;1479502644782;1479502652653;7871;<
TIGR00741;3;1479502652657;1479502664609;11952;<
TIGR00742;2;1479502664612;1479502664696;84;
TIGR00744;3;1479502664700;1479502704554;39854;<
TIGR00745;2;1479502704557;1479502704671;114;
TIGR00746;2;1479502704675;1479502704769;94;
TIGR00747;3;1479502704773;1479502723267;18494;<
TIGR00748;3;1479502723270;1479502744060;20790;<
TIGR00750;2;1479502744064;1479502744180;116;
TIGR00753;3;1479502744184;1479502760205;16021;<
TIGR00755;2;1479502760209;1479502760325;116;
TIGR00757;2;1479502760329;1479502760460;131;
TIGR00758;2;1479502760464;1479502760584;120;
TIGR00759;2;1479502760587;1479502760702;115;
TIGR00760;2;1479502760706;1479502760781;75;
TIGR00761;2;1479502760785;1479502760887;102;
TIGR00762;3;1479502760890;1479502785007;24117;<
TIGR00763;4;1479502785011;1479502835464;50453;<
<
TIGR00764;4;1479502835467;1479502900322;64855;<
<
TIGR00765;2;1479502900326;1479502900444;118;
TIGR00766;2;1479502900448;1479502900556;108;
TIGR00767;3;1479502900560;1479502923771;23211;<
TIGR00770;2;1479502923775;1479502923918;143;
TIGR00775;3;1479502923922;1479502939360;15438;<
TIGR00785;3;1479502939364;1479502967187;27823;<
TIGR00787;3;1479502967191;1479502979827;12636;<
TIGR00791;2;1479502979831;1479502979936;105;
TIGR00792;3;1479502979940;1479502996813;16873;<
TIGR00796;2;1479502996817;1479502996947;130;
TIGR00797;3;1479502996950;1479503026554;29604;<
TIGR00801;3;1479503026558;1479503041678;15120;<
TIGR00813;3;1479503041682;1479503059611;17929;<
TIGR00815;2;1479503059615;1479503059740;125;
TIGR00819;2;1479503059744;1479503059892;148;
TIGR00830;2;1479503059896;1479503059978;82;
TIGR00831;2;1479503059982;1479503060122;140;
TIGR00833;2;1479503060125;1479503060242;117;
TIGR00835;3;1479503060246;1479503089906;29660;<
TIGR00836;3;1479503089910;1479503112420;22510;<
TIGR00838;2;1479503112424;1479503112562;138;
TIGR00839;3;1479503112565;1479503122983;10418;<
TIGR00840;2;1479503122986;1479503123118;132;
